State, Public: 4-year or above,Private not-for-profit: 4-year or above,Private not-for-profit: 2-year,Private for-profit: 2-year,Public: less-than 2-year,Private for-profit: 4-year or above,Public: 2-year",Private not-for-profit: less-than 2-year,Private for-profit: less-than 2-year
Alaska,"$6,743","$6,806","$4,899","$7,542","$5,444",N/A,N/A,N/A,N/A
Alabama,"$7,224","$8,129",N/A,"$8,913",N/A,"$7,338","$5,007","$4,701","$6,698"
Arkansas,"$6,919","$6,889","$6,771","$7,753",N/A,"$9,799","$4,706",N/A,"$6,566"
Arizona,"$6,827","$8,277",N/A,"$6,838","$3,636","$8,579","$4,139","$3,262","$6,222"
California,"$6,032","$7,629","$8,133","$7,343","$5,384","$8,419","$6,060","$7,311","$6,877"
Colorado,"$6,390","$8,540","$8,680","$6,871",N/A,"$8,149","$5,765","$6,452","$5,916"
Connecticut,"$7,135","$7,330",N/A,"$7,412",N/A,"$10,598","$4,239",N/A,"$6,921"
District of Columbia,"$7,260","$6,659","$5,720","$7,128",N/A,"$10,236",N/A,N/A,"$5,040"
Delaware,"$6,021","$6,279","$6,044",N/A,"$6,561","$10,255",N/A,N/A,"$6,965"
Florida,"$5,604","$8,015","$6,939","$6,830",N/A,"$9,379","$6,144","$5,986","$5,442"
Georgia,"$6,189","$6,683","$5,664","$7,148",N/A,"$9,692","$5,105",N/A,"$6,430"
Hawaii,"$6,959","$6,860",N/A,"$6,669",N/A,"$9,708","$5,473",N/A,"$6,430"
Iowa,"$6,335","$7,746","$7,652","$6,693",N/A,"$8,319","$5,380",N/A,"$6,428"
Idaho,"$6,747","$7,925",N/A,"$8,395","$5,249",N/A,"$3,982",N/A,"$7,231"
Illinois,"$6,646","$7,193","$5,254","$7,170","$6,231","$8,020","$4,469","$5,749","$6,915"
Indiana,"$6,502","$7,432","$6,246","$7,330",N/A,"$8,222","$4,087",N/A,"$7,463"
Kansas,"$6,896","$7,816",N/A,"$8,617","$5,420","$6,611","$5,279",N/A,"$6,996"
Kentucky,"$6,750","$6,926",N/A,"$7,492",N/A,"$8,949","$5,023","$6,065","$7,064"
Louisiana,"$6,887","$7,605","$6,728","$7,266",N/A,N/A,"$6,242","$2,896","$6,516"
Massachusetts,"$6,843","$6,791","$7,884","$7,238","$6,337","$8,761","$4,489",N/A,"$6,285"
Maryland,"$7,085","$6,874",N/A,"$6,895",N/A,"$11,238","$5,600",N/A,"$4,940"
Maine,"$6,566","$6,637","$8,250","$6,205",N/A,N/A,"$5,235",N/A,"$5,708"
Michigan,"$7,000","$7,676","$6,508","$9,878",N/A,"$9,323","$4,558",N/A,"$7,135"
Minnesota,"$6,521","$7,127",N/A,"$7,131",N/A,"$9,847","$6,318",N/A,"$6,176"
Missouri,"$6,981","$7,217","$4,561","$7,297","$6,648","$7,408","$4,375",N/A,"$7,315"
Mississippi,"$7,827","$7,453",N/A,"$6,282",N/A,"$10,542","$4,624",N/A,"$7,694"
Montana,"$6,996","$6,836",N/A,"$7,428",N/A,N/A,"$5,596",N/A,"$5,781"
North Carolina,"$6,545","$7,228","$6,164","$6,324",N/A,"$8,262","$5,531",N/A,"$8,254"
North Dakota,"$6,413","$6,782",N/A,"$7,787",N/A,"$9,289","$5,558",N/A,"$4,494"
Nebraska,"$6,163","$7,531","$3,070","$6,894",N/A,"$6,565","$4,382",N/A,N/A
New Hampshire,"$6,711","$7,320","$3,974",N/A,N/A,N/A,"$5,969",N/A,"$6,640"
New Jersey,"$7,009","$7,549","$8,131","$7,444","$4,497","$9,552","$5,133","$2,235","$6,538"
New Mexico,"$6,187","$5,370",N/A,"$7,039",N/A,"$9,964","$4,018",N/A,"$6,637"
Nevada,"$6,396","$11,622","$8,479","$7,534",N/A,"$8,702",N/A,"$4,939","$6,527"
New York,"$6,492","$7,013","$5,907","$7,517","$6,381","$7,963","$4,939","$7,621","$6,697"
Ohio,"$6,538","$7,595","$6,645","$7,160","$6,218","$8,456","$4,516","$6,248","$7,265"
Oklahoma,"$6,702","$8,341","$6,559","$7,014",N/A,"$10,437","$5,054","$6,825","$6,348"
Oregon,"$7,314","$7,374","$8,375","$6,847",N/A,"$7,113","$5,407",N/A,"$6,381"
Pennsylvania,"$6,725","$7,324","$7,711","$7,422","$6,914","$9,316","$5,324","$6,712","$6,525"
Rhode Island,"$6,264","$7,334","$7,635","$10,081",N/A,N/A,"$5,026",N/A,"$8,129"
South Carolina,"$6,836","$7,441","$5,337","$5,813",N/A,"$10,303","$5,173","$5,743","$7,119"
South Dakota,"$6,533","$7,918","$9,901","$5,484",N/A,"$7,302","$6,195",N/A,N/A
Tennessee,"$6,569","$7,654","$6,520","$6,850",N/A,"$7,667","$5,046","$6,142","$7,187"
Texas,"$7,125","$7,401","$6,214","$7,175",N/A,"$8,645","$4,993","$7,229","$5,905"
Utah,"$6,058","$4,251","$3,724","$8,225",N/A,"$8,662","$3,683",N/A,"$6,236"
Virginia,"$6,873","$7,541","$7,708","$8,748","$5,552","$9,452","$5,275","$6,208","$7,139"
Vermont,"$6,520","$7,070",N/A,N/A,N/A,"$11,277","$4,465",N/A,"$5,996"
Washington,"$6,048","$7,669","$5,988","$6,336",N/A,"$7,892","$5,715","$7,391","$6,210"
Wisconsin,"$6,435","$7,159","$7,605","$7,093",N/A,"$7,764","$4,299",N/A,"$8,136"
West Virginia,"$6,814","$7,564",N/A,"$5,973",$572,"$8,597","$4,262",N/A,"$7,887"
Wyoming,"$6,673",N/A,N/A,"$3,844",N/A,N/A,"$5,151",N/A,"$5,793"
